,Dll_file,NAME,Parameters
0,Kernel32.dll,CreateToolhelp32Snapshot,"dworddwflags,dwordth32processid"
1,Kernel32.dll,EnumDeviceDrivers,"lpvoid*lpimagebase,dwordcb,lpdwordlpcbneeded"
2,Kernel32.dll,EnumProcesses,"dword*lpidprocess,dwordcb,lpdwordlpcbneeded"
3,Kernel32.dll,EnumProcessModules,"handlehprocess,hmodule*lphmodule,dwordcb,lpdwordlpcbneeded"
4,Kernel32.dll,EnumProcessModulesEx,"handlehprocess,hmodule*lphmodule,dwordcb,lpdwordlpcbneeded,dworddwfilterflag"
5,Kernel32.dll,FindFirstFileA,"lpcstrlpfilename,lpwin32_find_dataalpfindfiledata"
6,Kernel32.dll,FindNextFileA,"handlehfindfile,lpwin32_find_dataalpfindfiledata"
7,Kernel32.dll,GetLogicalProcessorInformation,"psystem_logical_processor_informationbuffer,[in,out]pdwordreturnedlength"
8,Kernel32.dll,GetLogicalProcessorInformationEx,"logical_processor_relationshiprelationshiptype,[out,optional]psystem_logical_processor_information_exbuffer,[in,out]pdwordreturnedlength"
9,Kernel32.dll,GetModuleBaseNameA,"handlehprocess,[in,optional]hmodulehmodule,lpstrlpbasename,dwordnsize"
10,Kernel32.dll,GetSystemDefaultLangId,
11,Kernel32.dll,GetVersionExA,"[in,out]lposversioninfoalpversioninformation"
12,Kernel32.dll,GetWindowsDirectoryA,"lpstrlpbuffer,uintusize"
13,Kernel32.dll,IsWoW64Process,"handlehprocess,pboolwow64process"
14,Kernel32.dll,Module32First,"handlehsnapshot,[in,out]lpmoduleentry32lpme"
15,Kernel32.dll,Module32Next,"handlehsnapshot,lpmoduleentry32lpme"
16,Kernel32.dll,Process32First,"handlehsnapshot,[in,out]lpprocessentry32lppe"
17,Kernel32.dll,Process32Next,"handlehsnapshot,lpprocessentry32lppe"
18,Kernel32.dll,ReadProcessMemory,"handlehprocess,lpcvoidlpbaseaddress,lpvoidlpbuffer,size_tnsize,size_t*lpnumberofbytesread"
19,Kernel32.dll,Thread32First,"handlehsnapshot,[in,out]lpthreadentry32lpte"
20,Kernel32.dll,Thread32Next,"handlehsnapshot,lpthreadentry32lpte"
21,Kernel32.dll,GetSystemDirectoryA,"lpstrlpbuffer,uintusize"
22,Kernel32.dll,GetSystemTime,lpsystemtimelpsystemtime
23,Kernel32.dll,ReadFile,"handlehfile,lpvoidlpbuffer,dwordnnumberofbytestoread,[out,optional]lpdwordlpnumberofbytesread,[in,out,optional]lpoverlappedlpoverlapped"
24,Kernel32.dll,GetComputerNameA,"lpstrlpbuffer,[in,out]lpdwordnsize"
25,Kernel32.dll,VirtualQueryEx,"lpwstrlpbuffer,[in,out]lpdwordnsize"
26,Kernel32.dll,GetProcessIdOfThread,handlethread
27,Kernel32.dll,GetProcessId,handleprocess
28,Kernel32.dll,GetCurrentThread,
29,Kernel32.dll,GetCurrentThreadId,
30,Kernel32.dll,GetThreadId,handlethread
31,Kernel32.dll,GetThreadInformation,"handlehthread,thread_information_classthreadinformationclass,lpvoidthreadinformation,dwordthreadinformationsize"
32,Kernel32.dll,GetCurrentProcess,
33,Kernel32.dll,GetCurrentProcessId,
34,Kernel32.dll,SearchPathA,"[in,optional]lpcstrlppath,lpcstrlpfilename,[in,optional]lpcstrlpextension,dwordnbufferlength,lpstrlpbuffer,[out,optional]lpstr*lpfilepart"
35,Kernel32.dll,GetFileTime,"handlehfile,[out,optional]lpfiletimelpcreationtime,[out,optional]lpfiletimelplastaccesstime,[out,optional]lpfiletimelplastwritetime"
36,Kernel32.dll,GetFileAttributesA,lpcstrlpfilename
37,Advapi32.dll,LookupPrivilegeValueA,"[in,optional]lpcstrlpsystemname,lpcstrlpname,pluidlpluid"
38,Advapi32.dll,LookupAccountNameA,"[in,optional]lpcstrlpsystemname,lpcstrlpaccountname,[out,optional]psidsid,[in,out]lpdwordcbsid,[out,optional]lpstrreferenceddomainname,[in,out]lpdwordcchreferenceddomainname,psid_name_usepeuse"
39,Advapi32.dll,GetCurrentHwProfileA,lphw_profile_infoalphwprofileinfo
40,Advapi32.dll,GetUserNameA,"lpstrlpbuffer,[in,out]lpdwordpcbbuffer"
41,Advapi32.dll,RegEnumKeyExA,"hkeyhkey,dworddwindex,lpstrlpname,[in,out]lpdwordlpcchname,lpdwordlpreserved,[in,out]lpstrlpclass,[in,out,optional]lpdwordlpcchclass,[out,optional]pfiletimelpftlastwritetime"
42,Advapi32.dll,RegEnumValueA,"hkeyhkey,dworddwindex,lpstrlpvaluename,[in,out]lpdwordlpcchvaluename,lpdwordlpreserved,[out,optional]lpdwordlptype,[out,optional]lpbytelpdata,[in,out,optional]lpdwordlpcbdata"
43,Advapi32.dll,RegQueryInfoKeyA,"hkeyhkey,[out,optional]lpstrlpclass,[in,out,optional]lpdwordlpcchclass,lpdwordlpreserved,[out,optional]lpdwordlpcsubkeys,[out,optional]lpdwordlpcbmaxsubkeylen,[out,optional]lpdwordlpcbmaxclasslen,[out,optional]lpdwordlpcvalues,[out,optional]lpdwordlpcbmaxvaluenamelen,[out,optional]lpdwordlpcbmaxvaluelen,[out,optional]lpdwordlpcbsecuritydescriptor,[out,optional]pfiletimelpftlastwritetime"
44,Advapi32.dll,RegQueryMultipleValuesA,"hkeyhkey,pvalentaval_list,dwordnum_vals,[out,optional]lpstrlpvaluebuf,[in,out,optional]lpdwordldwtotsize"
45,Advapi32.dll,RegQueryValueExA,"hkeyhkey,[in,optional]lpcstrlpvaluename,lpdwordlpreserved,[out,optional]lpdwordlptype,[out,optional]lpbytelpdata,[in,out,optional]lpdwordlpcbdata"
46,Ntdll.dll,NtQueryDirectoryFile,"handlefilehandle,[in,optional]handleevent,[in,optional]pio_apc_routineapcroutine,[in,optional]pvoidapccontext,pio_status_blockiostatusblock,pvoidfileinformation,ulonglength,file_information_classfileinformationclass,booleanreturnsingleentry,[in,optional]punicode_stringfilename,booleanrestartscan"
47,Ntdll.dll,NtQueryInformationProcess,"handleprocesshandle,processinfoclassprocessinformationclass,pvoidprocessinformation,ulongprocessinformationlength,[out,optional]pulongreturnlength"
48,Ntdll.dll,NtQuerySystemEnvironmentValueEx,NaN
49,User32.dll,EnumDesktopWindows,"[in,optional]hdeskhdesktop,wndenumproclpfn,lparamlparam"
50,User32.dll,EnumWindows,"wndenumproclpenumfunc,lparamlparam"
51,Netapi32.dll,NetShareEnum,"lmstrservername,dwordlevel,lpbyte*bufptr,dwordprefmaxlen,lpdwordentriesread,lpdwordtotalentries,[in,out]lpdwordresume_handle"
52,Netapi32.dll,NetShareGetInfo,"lmstrservername,lmstrnetname,dwordlevel,lpbyte*bufptr"
53,Netapi32.dll,NetShareCheck,"lmstrservername,lmstrdevice,lpdwordtype"
54,Iphlpapi.dll,GetAdaptersInfo,"pip_adapter_infoadapterinfo,[in,out]pulongsizepointer"
55,Shlwapi.dll,PathFileExistsA,lpcstrpszpath
56,Kernel32.dll,GetNativeSystemInfo,lpsystem_infolpsysteminfo
57,NtosKrnl.lib,RtlGetVersion,prtl_osversioninfowlpversioninformation
58,Iphlpapi.dll,GetIpNetTable,"pmib_ipnettableipnettable,[in,out]pulongsizepointer,boolorder"
59,Kernel32.dll,GetLogicalDrives,
60,Kernel32.dll,GetDriveTypeA,"[in,optional]lpcstrlprootpathname"
61,Advapi32.dll,RegEnumKeyA,"hkeyhkey,dworddwindex,lpstrlpname,dwordcchname"
62,Mpr.dll,WNetEnumResourceA,"handlehenum,[in,out]lpdwordlpccount,lpvoidlpbuffer,[in,out]lpdwordlpbuffersize"
63,Mpr.dll,WNetCloseEnum,handlehenum
64,Wininet.dll,FindFirstUrlCacheEntryA,"lpcstrlpszurlsearchpattern,lpinternet_cache_entry_infoalpfirstcacheentryinfo,[in,out]lpdwordlpcbcacheentryinfo"
65,Wininet.dll,FindNextUrlCacheEntryA,"handlehenumhandle,lpinternet_cache_entry_infoalpnextcacheentryinfo,[in,out]lpdwordlpcbcacheentryinfo"
66,Mpr.dll,WNetAddConnection2A,"lpnetresourcealpnetresource,lpcstrlppassword,lpcstrlpusername,dworddwflags"
67,Mpr.dll,WNetAddConnectionA,"lpcstrlpremotename,lpcstrlppassword,lpcstrlplocalname"
68,Kernel32.dll,EnumResourceTypesA,"[in,optional]hmodulehmodule,enumrestypeprocalpenumfunc,long_ptrlparam"
69,Kernel32.dll,EnumResourceTypesExA,"[in,optional]hmodulehmodule,enumrestypeprocwlpenumfunc,long_ptrlparam,dworddwflags,langidlangid"
70,Kernel32.dll,GetSystemTimeAsFileTime,lpfiletimelpsystemtimeasfiletime
71,Kernel32.dll,GetThreadLocale,
72,Kernel32.dll,EnumSystemLocalesA,"locale_enumprocwlplocaleenumproc,dworddwflags"
73,Kernel32.dll,CreateFileMappingA,"handlehfile,[in,optional]lpsecurity_attributeslpfilemappingattributes,dwordflprotect,dworddwmaximumsizehigh,dworddwmaximumsizelow,[in,optional]lpcstrlpname"
74,Kernel32.dll,CreateProcessA,"[in,optional]lpcstrlpapplicationname,[in,out,optional]lpstrlpcommandline,[in,optional]lpsecurity_attributeslpprocessattributes,[in,optional]lpsecurity_attributeslpthreadattributes,boolbinherithandles,dworddwcreationflags,[in,optional]lpvoidlpenvironment,[in,optional]lpcstrlpcurrentdirectory,lpstartupinfoalpstartupinfo,lpprocess_informationlpprocessinformation"
75,Kernel32.dll,CreateRemoteThread,"handlehprocess,lpsecurity_attributeslpthreadattributes,size_tdwstacksize,lpthread_start_routinelpstartaddress,lpvoidlpparameter,dworddwcreationflags,lpdwordlpthreadid"
76,Kernel32.dll,CreateRemoteThreadEx,"handlehprocess,[in,optional]lpsecurity_attributeslpthreadattributes,size_tdwstacksize,lpthread_start_routinelpstartaddress,[in,optional]lpvoidlpparameter,dworddwcreationflags,[in,optional]lpproc_thread_attribute_listlpattributelist,[out,optional]lpdwordlpthreadid"
77,Kernel32.dll,GetModuleHandleA,"[in,optional]lpcstrlpmodulename"
78,Kernel32.dll,GetProcAddress,"hmodulehmodule,lpcstrlpprocname"
79,Kernel32.dll,GetThreadContext,"handlehthread,[in,out]lpcontextlpcontext"
80,Kernel32.dll,HeapCreate,"dwordfloptions,size_tdwinitialsize,size_tdwmaximumsize"
81,Kernel32.dll,LoadLibraryA,lpcstrlplibfilename
82,Kernel32.dll,LoadLibraryExA,"lpcstrlplibfilename,handlehfile,dworddwflags"
83,Kernel32.dll,LocalAlloc,"uintuflags,size_tubytes"
84,Kernel32.dll,MapViewOfFile,"handlehfilemappingobject,dworddwdesiredaccess,dworddwfileoffsethigh,dworddwfileoffsetlow,size_tdwnumberofbytestomap"
85,Kernel32.dll,MapViewOfFile2,"handlefilemappinghandle,handleprocesshandle,ulong64offset,[in,optional]pvoidbaseaddress,size_tviewsize,ulongallocationtype,ulongpageprotection"
86,Kernel32.dll,MapViewOfFile3,"handlefilemapping,handleprocess,[in,optional]pvoidbaseaddress,ulong64offset,size_tviewsize,ulongallocationtype,ulongpageprotection,[in,out,optional]mem_extended_parameter*extendedparameters,ulongparametercount"
87,Kernel32.dll,MapViewOfFileEx,"handlehfilemappingobject,dworddwdesiredaccess,dworddwfileoffsethigh,dworddwfileoffsetlow,size_tdwnumberofbytestomap,[in,optional]lpvoidlpbaseaddress"
88,Kernel32.dll,OpenThread,"dworddwdesiredaccess,boolbinherithandle,dworddwthreadid"
89,Kernel32.dll,Process32First,"handlehsnapshot,[in,out]lpprocessentry32lppe"
90,Kernel32.dll,Process32Next,"handlehsnapshot,lpprocessentry32lppe"
91,Kernel32.dll,QueueUserAPC,"papcfuncpfnapc,handlehthread,ulong_ptrdwdata"
92,Kernel32.dll,ReadProcessMemory,"handlehprocess,lpcvoidlpbaseaddress,lpvoidlpbuffer,size_tnsize,size_t*lpnumberofbytesread"
93,Kernel32.dll,ResumeThread,handlehthread
94,Kernel32.dll,SetProcessDEPPolicy,dworddwflags
95,Kernel32.dll,SetThreadContext,"handlehthread,constcontext*lpcontext"
96,Kernel32.dll,SuspendThread,handlehthread
97,Kernel32.dll,Thread32First,"handlehsnapshot,[in,out]lpthreadentry32lpte"
98,Kernel32.dll,Thread32Next,"handlehsnapshot,lpthreadentry32lpte"
99,Kernel32.dll,Toolhelp32ReadProcessMemory,"dwordth32processid,lpcvoidlpbaseaddress,lpvoidlpbuffer,size_tcbread,size_t*lpnumberofbytesread"
100,Kernel32.dll,VirtualAlloc,"[in,optional]lpvoidlpaddress,size_tdwsize,dwordflallocationtype,dwordflprotect"
101,Kernel32.dll,VirtualAllocEx,"handlehprocess,[in,optional]lpvoidlpaddress,size_tdwsize,dwordflallocationtype,dwordflprotect"
102,Kernel32.dll,VirtualProtect,"lpvoidlpaddress,size_tdwsize,dwordflnewprotect,pdwordlpfloldprotect"
103,Kernel32.dll,VirtualProtectEx,"handlehprocess,lpvoidlpaddress,size_tdwsize,dwordflnewprotect,pdwordlpfloldprotect"
104,Kernel32.dll,WriteProcessMemory,"handlehprocess,lpvoidlpbaseaddress,lpcvoidlpbuffer,size_tnsize,size_t*lpnumberofbyteswritten"
105,Kernel32.dll,VirtualAllocExNuma,"handlehprocess,[in,optional]lpvoidlpaddress,size_tdwsize,dwordflallocationtype,dwordflprotect,dwordnndpreferred"
106,Kernel32.dll,VirtualAlloc2,"[in,optional]handleprocess,[in,optional]pvoidbaseaddress,size_tsize,ulongallocationtype,ulongpageprotection,[in,out,optional]mem_extended_parameter*extendedparameters,ulongparametercount"
107,Kernel32.dll,VirtualAlloc2FromApp,"[in,optional]handleprocess,[in,optional]pvoidbaseaddress,size_tsize,ulongallocationtype,ulongpageprotection,[in,out,optional]mem_extended_parameter*extendedparameters,ulongparametercount"
108,Kernel32.dll,VirtualAllocFromApp,"[in,optional]pvoidbaseaddress,size_tsize,ulongallocationtype,ulongprotection"
109,Kernel32.dll,VirtualProtectFromApp,"pvoidaddress,size_tsize,ulongnewprotection,pulongoldprotection"
110,Kernel32.dll,CreateThread,"[in,optional]lpsecurity_attributeslpthreadattributes,size_tdwstacksize,lpthread_start_routinelpstartaddress,[in,optional]__drv_aliasesmemlpvoidlpparameter,dworddwcreationflags,[out,optional]lpdwordlpthreadid"
111,Kernel32.dll,WaitForSingleObject,"handlehhandle,dworddwmilliseconds"
112,Kernel32.dll,OpenProcess,"dworddwdesiredaccess,boolbinherithandle,dworddwprocessid"
113,Kernel32.dll,OpenFileMappingA,"dworddwdesiredaccess,boolbinherithandle,lpcstrlpname"
114,Kernel32.dll,GetProcessHeap,
115,Kernel32.dll,GetProcessHeaps,"dwordnumberofheaps,phandleprocessheaps"
116,Kernel32.dll,HeapAlloc,"handlehheap,dworddwflags,size_tdwbytes"
117,Kernel32.dll,HeapReAlloc,"handlehheap,dworddwflags,_frees_ptr_opt_lpvoidlpmem,size_tdwbytes"
118,Kernel32.dll,GlobalAlloc,"uintuflags,size_tdwbytes"
119,Advapi32.dll,AdjustTokenPrivileges,"handletokenhandle,booldisableallprivileges,[in,optional]ptoken_privilegesnewstate,dwordbufferlength,[out,optional]ptoken_privilegespreviousstate,[out,optional]pdwordreturnlength"
120,Advapi32.dll,CreateProcessAsUserA,"[in,optional]handlehtoken,[in,optional]lpcstrlpapplicationname,[in,out,optional]lpstrlpcommandline,[in,optional]lpsecurity_attributeslpprocessattributes,[in,optional]lpsecurity_attributeslpthreadattributes,boolbinherithandles,dworddwcreationflags,[in,optional]lpvoidlpenvironment,[in,optional]lpcstrlpcurrentdirectory,lpstartupinfoalpstartupinfo,lpprocess_informationlpprocessinformation"
121,Advapi32.dll,OpenProcessToken,"handleprocesshandle,dworddesiredaccess,phandletokenhandle"
122,Advapi32.dll,CreateProcessWithTokenW,"handlehtoken,dworddwlogonflags,[in,optional]lpcwstrlpapplicationname,[in,out,optional]lpwstrlpcommandline,dworddwcreationflags,[in,optional]lpvoidlpenvironment,[in,optional]lpcwstrlpcurrentdirectory,lpstartupinfowlpstartupinfo,lpprocess_informationlpprocessinformation"
123,Ntdll.dll,NtAdjustPrivilegesToken,NaN
124,Ntdll.dll,NtAllocateVirtualMemory,NaN
125,Ntdll.dll,NtContinue,NaN
126,Ntdll.dll,NtCreateProcess,NaN
127,Ntdll.dll,NtCreateProcessEx,NaN
128,Ntdll.dll,NtCreateSection,"phandlesectionhandle,access_maskdesiredaccess,[in,optional]pobject_attributesobjectattributes,[in,optional]plarge_integermaximumsize,ulongsectionpageprotection,ulongallocationattributes,[in,optional]handlefilehandle"
129,Ntdll.dll,NtCreateThread,NaN
130,Ntdll.dll,NtCreateThreadEx,NaN
131,Ntdll.dll,NtCreateUserProcess,NaN
132,Ntdll.dll,NtDuplicateObject,NaN
133,Ntdll.dll,NtMapViewOfSection,"handlesectionhandle,handleprocesshandle,[in,out]pvoid*baseaddress,ulong_ptrzerobits,size_tcommitsize,[in,out,optional]plarge_integersectionoffset,[in,out]psize_tviewsize,section_inheritinheritdisposition,ulongallocationtype,ulongwin32protect"
134,Ntdll.dll,NtOpenProcess,NaN
135,Ntdll.dll,NtOpenThread,"_out_phandlethreadhandle,_in_access_maskdesiredaccess,_in_pobject_attributesobjectattributes,_in_pclient_idclientid"
136,Ntdll.dll,NtProtectVirtualMemory,NaN
137,Ntdll.dll,NtQueueApcThread,NaN
138,Ntdll.dll,NtQueueApcThreadEx,NaN
139,Ntdll.dll,NtQueueApcThreadEx2,NaN
140,Ntdll.dll,NtReadVirtualMemory,NaN
141,Ntdll.dll,NtResumeThread,NaN
142,Ntdll.dll,NtUnmapViewOfSection,"handleprocesshandle,[in,optional]pvoidbaseaddress"
143,Ntdll.dll,NtWaitForMultipleObjects,NaN
144,Ntdll.dll,NtWaitForSingleObject,NaN
145,Ntdll.dll,NtWriteVirtualMemory,NaN
146,Ntdll.dll,RtlCreateHeap,"ulongflags,[in,optional]pvoidheapbase,[in,optional]size_treservesize,[in,optional]size_tcommitsize,[in,optional]pvoidlock,[in,optional]prtl_heap_parametersparameters"
147,Ntdll.dll,LdrLoadDll,NaN
148,Ntdll.dll,RtlMoveMemory,NaN
149,Ntdll.dll,RtlCopyMemory,NaN
150,User32.dll,SetPropA,"hwndhwnd,lpcstrlpstring,[in,optional]handlehdata"
151,Kernel32.dll,WaitForSingleObjectEx,"handlehhandle,dworddwmilliseconds,boolbalertable"
152,Kernel32.dll,WaitForMultipleObjects,"dwordncount,consthandle*lphandles,boolbwaitall,dworddwmilliseconds"
153,Kernel32.dll,WaitForMultipleObjectsEx,"dwordncount,consthandle*lphandles,boolbwaitall,dworddwmilliseconds,boolbalertable"
154,Kernel32.dll,KeInsertQueueApc,NaN
155,Kernel32.dll,Wow64SetThreadContext,"handlehthread,constcontext*lpcontext"
156,ntdll.dll,NtSuspendProcess,NaN
157,ntdll.dll,NtResumeProcess,NaN
158,Advapi32.dll,DuplicateToken,"handleexistingtokenhandle,security_impersonation_levelimpersonationlevel,phandleduplicatetokenhandle"
159,Ntdll.dll,NtReadVirtualMemoryEx,NaN
160,Kernel32.dll,CreateProcessInternal,NaN
161,Kernel32.dll,EnumSystemLocalesA,"locale_enumprocwlplocaleenumproc,dworddwflags"
162,Rpcrt4.dll,UuidFromStringA,"rpc_cstrstringuuid,uuid*uuid"
163,Kernel32.dll,CreateFileMappingA,"handlehfile,[in,optional]lpsecurity_attributeslpfilemappingattributes,dwordflprotect,dworddwmaximumsizehigh,dworddwmaximumsizelow,[in,optional]lpcstrlpname"
164,Kernel32.dll,DeleteFileA,lpcstrlpfilename
165,Kernel32.dll,GetModuleHandleA,"[in,optional]lpcstrlpmodulename"
166,Kernel32.dll,GetProcAddress,"hmodulehmodule,lpcstrlpprocname"
167,Kernel32.dll,LoadLibraryA,lpcstrlplibfilename
168,Kernel32.dll,LoadLibraryExA,"lpcstrlplibfilename,handlehfile,dworddwflags"
169,Kernel32.dll,LoadResource,"[in,optional]hmodulehmodule,hrsrchresinfo"
170,Kernel32.dll,SetEnvironmentVariableA,"lpcstrlpname,[in,optional]lpcstrlpvalue"
171,Kernel32.dll,SetFileTime,"handlehfile,[in,optional]constfiletime*lpcreationtime,[in,optional]constfiletime*lplastaccesstime,[in,optional]constfiletime*lplastwritetime"
172,Kernel32.dll,Sleep,dworddwmilliseconds
173,Kernel32.dll,WaitForSingleObject,"handlehhandle,dworddwmilliseconds"
174,Kernel32.dll,SetFileAttributesA,"lpcstrlpfilename,dworddwfileattributes"
175,Kernel32.dll,SleepEx,"dworddwmilliseconds,boolbalertable"
176,Ntdll.dll,NtDelayExecution,NaN
177,Ntdll.dll,NtWaitForMultipleObjects,NaN
178,Ntdll.dll,NtWaitForSingleObject,NaN
179,User32.dll,CreateWindowExA,"dworddwexstyle,[in,optional]lpcstrlpclassname,[in,optional]lpcstrlpwindowname,dworddwstyle,intx,inty,intnwidth,intnheight,[in,optional]hwndhwndparent,[in,optional]hmenuhmenu,[in,optional]hinstancehinstance,[in,optional]lpvoidlpparam"
180,User32.dll,RegisterHotKey,"[in,optional]hwndhwnd,intid,uintfsmodifiers,uintvk"
181,Winmm.dll,timeSetEvent,"uintudelay,uinturesolution,lptimecallbacklptimeproc,dword_ptrdwuser,uintfuevent"
182,Iphlpapi.dll,IcmpSendEcho,"handleicmphandle,ipaddrdestinationaddress,lpvoidrequestdata,wordrequestsize,[in,optional]pip_option_informationrequestoptions,lpvoidreplybuffer,dwordreplysize,dwordtimeout"
183,Kernel32.dll,WaitForSingleObjectEx,"handlehhandle,dworddwmilliseconds,boolbalertable"
184,Kernel32.dll,WaitForMultipleObjects,"dwordncount,consthandle*lphandles,boolbwaitall,dworddwmilliseconds"
185,Kernel32.dll,WaitForMultipleObjectsEx,"dwordncount,consthandle*lphandles,boolbwaitall,dworddwmilliseconds,boolbalertable"
186,Kernel32.dll,SetWaitableTimer,"handlehtimer,constlarge_integer*lpduetime,longlperiod,[in,optional]ptimerapcroutinepfncompletionroutine,[in,optional]lpvoidlpargtocompletionroutine,boolfresume"
187,Kernel32.dll,CreateTimerQueueTimer,"phandlephnewtimer,[in,optional]handletimerqueue,waitortimercallbackcallback,[in,optional]pvoidparameter,dwordduetime,dwordperiod,ulongflags"
188,Kernel32.dll,CreateWaitableTimer,"[in,optional]lpsecurity_attributeslptimerattributes,boolbmanualreset,[in,optional]lpcwstrlptimername"
189,Kernel32.dll,SetWaitableTimer,"handlehtimer,constlarge_integer*lpduetime,longlperiod,[in,optional]ptimerapcroutinepfncompletionroutine,[in,optional]lpvoidlpargtocompletionroutine,boolfresume"
190,User32.dll,SetTimer,"[in,optional]hwndhwnd,uint_ptrnidevent,uintuelapse,[in,optional]timerproclptimerfunc"
191,Ws2_32.dll,Select,"intnfds,[in,out]fd_set*readfds,[in,out]fd_set*writefds,[in,out]fd_set*exceptfds,consttimeval*timeout"
192,Advapi32.dll,ImpersonateLoggedOnUser,handlehtoken
193,Advapi32.dll,SetThreadToken,"[in,optional]phandlethread,[in,optional]handletoken"
194,Advapi32.dll,DuplicateToken,"handleexistingtokenhandle,security_impersonation_levelimpersonationlevel,phandleduplicatetokenhandle"
195,Kernel32.dll,SizeOfResource,"[in,optional]hmodulehmodule,hrsrchresinfo"
196,Kernel32.dll,LockResource,hglobalhresdata
197,Kernel32.dll,CreateProcessInternal,NaN
198,Winmm.dll,TimeGetTime,
199,Kernel32.dll,EnumSystemLocalesA,"locale_enumprocwlplocaleenumproc,dworddwflags"
200,Rpcrt4.dll,UuidFromStringA,"rpc_cstrstringuuid,uuid*uuid"
201,User32.dll,AttachThreadInput,"dwordidattach,dwordidattachto,boolfattach"
202,User32.dll,CallNextHookEx,"[in,optional]hhookhhk,intncode,wparamwparam,lparamlparam"
203,User32.dll,GetAsyncKeyState,intvkey
204,User32.dll,GetClipboardData,uintuformat
205,User32.dll,GetDC,hwndhwnd
206,User32.dll,GetDCEx,"hwndhwnd,hrgnhrgnclip,dwordflags"
207,User32.dll,GetForegroundWindow,
208,User32.dll,GetKeyboardState,pbytelpkeystate
209,User32.dll,GetKeyState,intnvirtkey
210,User32.dll,GetMessageA,"lpmsglpmsg,[in,optional]hwndhwnd,uintwmsgfiltermin,uintwmsgfiltermax"
211,User32.dll,GetRawInputData,"hrawinputhrawinput,uintuicommand,[out,optional]lpvoidpdata,[in,out]puintpcbsize,uintcbsizeheader"
212,User32.dll,GetWindowDC,hwndhwnd
213,User32.dll,MapVirtualKeyA,"uintucode,uintumaptype"
